"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C12,C11,C5,C10,C9,C2,C3,C8,C6,C7,C4";"C_1210_3225Metric";12;"47u";;;
2;"J3";"PinSocket_2x05_P2.54mm_Vertical_SMD";1;"Conn_02x05_Top_Bottom";;;
3;"R1";"R_0603_1608Metric";1;"1500";;;
4;"D1";"LED_0603_1608Metric";1;"BLU";;;
5;"J4";"PinSocket_2x02_P2.54mm_Vertical_SMD";1;"Conn_02x02_Top_Bottom";;;
6;"J1";"PinHeader_2x05_P2.54mm_Vertical_SMD";1;"Conn_02x05_Top_Bottom";;;
7;"J2";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"Conn_02x02_Top_Bottom";;;
